"column","variable","label","value_labels","class","type","n_na","range"
"309","v4_plate_chkn_nug_g","Visit 4 - Chicken Nuggets: Pre-Weight w/ Plate","NULL","numeric","double","8","c(244.66, 552.53)"
"310","v4_post_chkn_nug_g","Visit 4 - Chicken Nuggets: Post-Weight","NULL","numeric","double","8","c(39.25, 539.49)"
"311","v4_consumed_chkn_nug_g","Visit 4 - Chicken Nuggets: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","8","c(0, 438.92)"
"312","v4_consumed_chkn_nug_kcal","Visit 4 - ps_meal chkn_nug: Amount Consumed kcal - calculated in R","NULL","numeric","double","8","c(0, 1097.3)"
"313","v4_noplate_mac_cheese_g","Visit 4 - Mac and Cheese: Pre-Weight w/o Plate","NULL","numeric","double","8","c(236.72, 518.09)"
"314","v4_plate_mac_cheese_g","Visit 4 - Mac and Cheese: Pre-Weight w/ Plate","NULL","numeric","double","8","c(592.57, 865.78)"
"315","v4_post_mac_cheese_g","Visit 4 - Mac and Cheese: Post-Weight","NULL","numeric","double","8","c(328.54, 857.53)"
"316","v4_consumed_mac_cheese_g","Visit 4 - Mac and Cheese: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","8","c(0, 371.73)"
"317","v4_consumed_mac_cheese_kcal","Visit 4 - ps_meal mac_cheese: Amount Consumed kcal - calculated in R","NULL","numeric","double","8","c(0, 631.941)"
"318","v4_noplate_grapes_g","Visit 4 - Grapes: Pre-Weight w/o Bowl","NULL","numeric","double","7","c(198.29, 400.37)"
"319","v4_plate_grapes_g","Visit 4 - Grapes: Pre-Weight w/ Bowl","NULL","numeric","double","8","c(367.87, 579.34)"
"320","v4_post_grapes_g","Visit 4 - Grapes: Post-Weight","NULL","numeric","double","8","c(175.45, 577.86)"
"321","v4_consumed_grapes_g","Visit 4 - Grapes: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","8","c(0, 388.34)"
"322","v4_consumed_grapes_kcal","Visit 4 - ps_meal grapes: Amount Consumed kcal - calculated in R","NULL","numeric","double","8","c(0, 269.8963)"
"323","v4_noplate_margerine_g","Visit 4 - Margarine: Pre-Weight w/ Bowl","NULL","numeric","double","11","c(0, 35.25)"
"324","v4_noplate_broccoli_g","Visit 4 - Broccoli: Pre-Weight w/o Bowl","NULL","numeric","double","8","c(179.33, 554.15)"
"325","v4_plate_broccoli_g","Visit 4 - Broccoli: Pre-Weight w/ Bowl","NULL","numeric","double","8","c(181.5, 627.61)"
"326","v4_post_broccoli_g","Visit 4 - Broccoli: Post-Weight","NULL","numeric","double","8","c(179.28, 618.15)"
