sub	all_nGo	all_nNoGo	all_nAcc	all_pAcc	all_nGo_Hit	all_nGo_Miss	all_nNoGo_Corr	all_nNoGo_FA	all_pGo_Hit	all_pGo_Miss	all_pNoGo_Corr	all_pNoGo_FA	all_RTmeanGo_Hit	all_RTmeanNoGo_FA	all_RTmedGo_Hit	all_RTmedNoGo_FA	all_z_Hit	all_z_FA	all_z_Hit_mm	all_z_FA_mm	all_z_Hit_ll	all_z_FA_ll	all_d_prime_mm	all_d_prime_ll	all_A_prime_mm	all_A_prime_ll	all_c_mm	all_c_ll	all_Grier_beta_mm	all_Grier_beta_ll	b1_nGo	b1_nNoGo	b1_nAcc	b1_pAcc	b1_nGo_Hit	b1_nGo_Miss	b1_nNoGo_Corr	b1_nNoGo_FA	b1_pGo_Hit	b1_pGo_Miss	b1_pNoGo_Corr	b1_pNoGo_FA	b1_RTmeanGo_Hit	b1_RTmeanNoGo_FA	b1_RTmedGo_Hit	b1_RTmedNoGo_FA	b2_nGo	b2_nNoGo	b2_nAcc	b2_pAcc	b2_nGo_Hit	b2_nGo_Miss	b2_nNoGo_Corr	b2_nNoGo_FA	b2_pGo_Hit	b2_pGo_Miss	b2_pNoGo_Corr	b2_pNoGo_FA	b2_RTmeanGo_Hit	b2_RTmeanNoGo_FA	b2_RTmedGo_Hit	b2_RTmedNoGo_FA	b3_nGo	b3_nNoGo	b3_nAcc	b3_pAcc	b3_nGo_Hit	b3_nGo_Miss	b3_nNoGo_Corr	b3_nNoGo_FA	b3_pGo_Hit	b3_pGo_Miss	b3_pNoGo_Corr	b3_pNoGo_FA	b3_RTmeanGo_Hit	b3_RTmeanNoGo_FA	b3_RTmedGo_Hit	b3_RTmedNoGo_FA	b4_nGo	b4_nNoGo	b4_nAcc	b4_pAcc	b4_nGo_Hit	b4_nGo_Miss	b4_nNoGo_Corr	b4_nNoGo_FA	b4_pGo_Hit	b4_pGo_Miss	b4_pNoGo_Corr	b4_pNoGo_FA	b4_RTmeanGo_Hit	b4_RTmeanNoGo_FA	b4_RTmedGo_Hit	b4_RTmedNoGo_FA	b5_nGo	b5_nNoGo	b5_nAcc	b5_pAcc	b5_nGo_Hit	b5_nGo_Miss	b5_nNoGo_Corr	b5_nNoGo_FA	b5_pGo_Hit	b5_pGo_Miss	b5_pNoGo_Corr	b5_pNoGo_FA	b5_RTmeanGo_Hit	b5_RTmeanNoGo_FA	b5_RTmedGo_Hit	b5_RTmedNoGo_FA
105	150	50	153	0.765	132	18	21	29	0.88	0.12	0.42	0.58	507.371	405.483	493	379	1.175	0.202	1.175	0.202	1.162	0.198	0.973	0.965	0.764	0.763	0.688	0.68	-0.395	-0.388	30	10	21	0.525	17	13	4	6	0.567	0.433	0.4	0.6	466.647	429.167	423	448.5	30	10	32	0.8	28	2	4	6	0.933	0.067	0.4	0.6	537.393	434.167	534.5	428.5	30	10	32	0.8	30	0	2	8	1	0	0.2	0.8	537.8	425.375	500.5	363	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	496.103	353.333	492	356.5	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	481.143	352	463	428
106	150	50	149	0.745	130	20	19	31	0.867	0.133	0.38	0.62	579.562	512.29	564.5	456	1.111	0.305	1.111	0.305	1.1	0.299	0.805	0.8	0.733	0.733	0.708	0.699	-0.342	-0.336	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	570.107	427	548	436.5	30	10	30	0.75	29	1	1	9	0.967	0.033	0.1	0.9	559.448	545.778	565	565	30	10	20	0.5	15	15	5	5	0.5	0.5	0.5	0.5	669	591.6	632	640	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	560.828	474.667	545	437.5	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	581.276	493.571	540	460
107	150	50	187	0.935	146	4	41	9	0.973	0.027	0.82	0.18	546.267	421.333	531.5	414	1.932	-0.915	1.932	-0.915	1.884	-0.892	2.848	2.775	0.946	0.943	0.508	0.496	-0.701	-0.68	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	553.6	355	530	355	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	519.172	453	505	453	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	544.3	351	532.5	351	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	589.483	446	599	446	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	523.821	463.333	551.5	429
109	150	50	172	0.86	148	2	24	26	0.987	0.013	0.48	0.52	473.905	387.038	457.5	415	2.216	0.05	2.216	0.05	2.131	0.049	2.166	2.082	0.861	0.859	1.133	1.09	-0.9	-0.878	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	499.7	438.8	490.5	439	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	479.567	429.8	445	464	30	10	33	0.825	30	0	3	7	1	0	0.3	0.7	469.067	396.429	458.5	399	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	454.069	270.25	468	288	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	466.207	372.8	454	425
111	150	50	184	0.92	147	3	37	13	0.98	0.02	0.74	0.26	534.252	481.077	533	368	2.054	-0.643	2.054	-0.643	1.992	-0.629	2.697	2.621	0.927	0.924	0.705	0.682	-0.815	-0.792	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	530.724	578.857	522	382	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	512.966	343	523	343	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	540	379.5	527.5	379.5	30	10	39	0.975	29	1	10	0	0.967	0.033	1	0	523.862		540		30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	562.533	366.667	548	367
112	150	50	189	0.945	149	1	40	10	0.993	0.007	0.8	0.2	568.832	440.3	569	433.5	2.475	-0.842	2.475	-0.842	2.329	-0.821	3.316	3.15	0.948	0.945	0.817	0.754	-0.921	-0.887	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	588.4	450.333	582	477	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	610.241	447.5	591	447.5	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	576.2	561.5	576.5	561.5	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	566.6	354	569.5	354	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	504.1	340	510	340
113	150	50	166	0.83	150	0	16	34	1	0	0.32	0.68	454.747	394.882	446	375.5	inf	0.468	2.713	0.468	2.715	0.458	2.245	2.257	0.827	0.828	1.59	1.587	-0.97	-0.97	30	10	33	0.825	30	0	3	7	1	0	0.3	0.7	455.033	365	441.5	368	30	10	32	0.8	30	0	2	8	1	0	0.2	0.8	420.6	375.25	422.5	342	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	477	459.4	483.5	484	30	10	33	0.825	30	0	3	7	1	0	0.3	0.7	459.467	420.143	457	397	30	10	33	0.825	30	0	3	7	1	0	0.3	0.7	461.633	375.857	445	361
114	150	50	178	0.89	149	1	29	21	0.993	0.007	0.58	0.42	522.537	401.524	521	402	2.475	-0.202	2.475	-0.202	2.329	-0.198	2.677	2.527	0.891	0.889	1.136	1.065	-0.947	-0.922	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	520.3	440.667	525.5	428	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	474.2	283	490.5	325.5	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	493.867	401	493.5	392	30	10	33	0.825	30	0	3	7	1	0	0.3	0.7	555.733	409.571	556.5	395	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	570.172	502.333	527	524
115	150	50	176	0.88	147	3	29	21	0.98	0.02	0.58	0.42	579.762	456.143	597	435	2.054	-0.202	2.054	-0.202	1.992	-0.198	2.256	2.19	0.884	0.882	0.926	0.897	-0.851	-0.83	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	686	512.333	683	487	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	629.724	479.667	624	491	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	602.333	525.667	594	536	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	493	394.5	469	397.5	30	10	32	0.8	30	0	2	8	1	0	0.2	0.8	490.067	431	486	425.5
116	150	50	191	0.955	148	2	43	7	0.987	0.013	0.86	0.14	602.095	434.143	587	431	2.216	-1.08	2.216	-1.08	2.131	-1.049	3.297	3.18	0.961	0.958	0.568	0.541	-0.803	-0.77	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	553.967	404.5	541	404.5	30	10	39	0.975	29	1	10	0	0.967	0.033	1	0	588.448		606		30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	638.233	438	622.5	438	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	638.552	448	596	434.5	30	10	40	1	30	0	10	0	1	0	1	0	592.033		552	
