sub	all_nGo	all_nNoGo	all_nAcc	all_pAcc	all_nGo_Hit	all_nGo_Miss	all_nNoGo_Corr	all_nNoGo_FA	all_pGo_Hit	all_pGo_Miss	all_pNoGo_Corr	all_pNoGo_FA	all_RTmeanGo_Hit	all_RTmeanNoGo_FA	all_RTmedGo_Hit	all_RTmedNoGo_FA	all_z_Hit	all_z_FA	all_z_Hit_mm	all_z_FA_mm	all_z_Hit_ll	all_z_FA_ll	all_d_prime_mm	all_d_prime_ll	all_A_prime_mm	all_A_prime_ll	all_c_mm	all_c_ll	all_Grier_beta_mm	all_Grier_beta_ll	b1_nGo	b1_nNoGo	b1_nAcc	b1_pAcc	b1_nGo_Hit	b1_nGo_Miss	b1_nNoGo_Corr	b1_nNoGo_FA	b1_pGo_Hit	b1_pGo_Miss	b1_pNoGo_Corr	b1_pNoGo_FA	b1_RTmeanGo_Hit	b1_RTmeanNoGo_FA	b1_RTmedGo_Hit	b1_RTmedNoGo_FA	b2_nGo	b2_nNoGo	b2_nAcc	b2_pAcc	b2_nGo_Hit	b2_nGo_Miss	b2_nNoGo_Corr	b2_nNoGo_FA	b2_pGo_Hit	b2_pGo_Miss	b2_pNoGo_Corr	b2_pNoGo_FA	b2_RTmeanGo_Hit	b2_RTmeanNoGo_FA	b2_RTmedGo_Hit	b2_RTmedNoGo_FA	b3_nGo	b3_nNoGo	b3_nAcc	b3_pAcc	b3_nGo_Hit	b3_nGo_Miss	b3_nNoGo_Corr	b3_nNoGo_FA	b3_pGo_Hit	b3_pGo_Miss	b3_pNoGo_Corr	b3_pNoGo_FA	b3_RTmeanGo_Hit	b3_RTmeanNoGo_FA	b3_RTmedGo_Hit	b3_RTmedNoGo_FA	b4_nGo	b4_nNoGo	b4_nAcc	b4_pAcc	b4_nGo_Hit	b4_nGo_Miss	b4_nNoGo_Corr	b4_nNoGo_FA	b4_pGo_Hit	b4_pGo_Miss	b4_pNoGo_Corr	b4_pNoGo_FA	b4_RTmeanGo_Hit	b4_RTmeanNoGo_FA	b4_RTmedGo_Hit	b4_RTmedNoGo_FA	b5_nGo	b5_nNoGo	b5_nAcc	b5_pAcc	b5_nGo_Hit	b5_nGo_Miss	b5_nNoGo_Corr	b5_nNoGo_FA	b5_pGo_Hit	b5_pGo_Miss	b5_pNoGo_Corr	b5_pNoGo_FA	b5_RTmeanGo_Hit	b5_RTmeanNoGo_FA	b5_RTmedGo_Hit	b5_RTmedNoGo_FA
1	150	50	180	0.9	148	2	32	18	0.987	0.013	0.64	0.36	493.757	382	491	355.5	2.216	-0.358	2.216	-0.358	2.131	-0.351	2.575	2.482	0.904	0.901	0.929	0.89	-0.892	-0.868	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	502.267	299	495	299	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	480.448	372.2	471	300	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	486.345	445.333	486	407	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	526.3	372.75	516	355.5	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	472.733	397.5	473	382
2	150	50	189	0.945	149	1	40	10	0.993	0.007	0.8	0.2	565.141	415.8	557	408.5	2.475	-0.842	2.475	-0.842	2.329	-0.821	3.316	3.15	0.948	0.945	0.817	0.754	-0.921	-0.887	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	569.733	439.333	550.5	451	30	10	40	1	30	0	10	0	1	0	1	0	539.233		535.5		30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	557.655	380	551	385	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	633	483	608.5	483	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	525.833	405.667	541.5	399
3	150	50	183	0.915	140	10	43	7	0.933	0.067	0.86	0.14	579.971	408.429	566	424	1.501	-1.08	1.501	-1.08	1.479	-1.049	2.581	2.528	0.943	0.94	0.21	0.215	-0.319	-0.319	30	10	28	0.7	20	10	8	2	0.667	0.333	0.8	0.2	535.05	335.5	550.5	335.5	30	10	40	1	30	0	10	0	1	0	1	0	590.767		576		30	10	40	1	30	0	10	0	1	0	1	0	596.533		573		30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	588.167	551	566	551	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	574.367	409.25	564.5	456
4	150	50	171	0.855	143	7	28	22	0.953	0.047	0.56	0.44	557.385	416.455	523	460.5	1.678	-0.151	1.678	-0.151	1.648	-0.148	1.829	1.796	0.864	0.862	0.764	0.75	-0.694	-0.679	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	557.286	377	533.5	469	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	554.897	487.5	529	490	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	563.138	430.8	526	427	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	552.25	324.4	530	406	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	559.172	461	501	461
5	150	50	187	0.935	150	0	37	13	1	0	0.74	0.26	560.713	362.692	542.5	368	inf	-0.643	2.713	-0.643	2.715	-0.629	3.356	3.344	0.934	0.932	1.035	1.043	-0.966	-0.967	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	555.3	210.5	541	210.5	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	556.6	285.667	534.5	310	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	529.967	431.333	525	458	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	623.067	441	630.5	441	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	538.633	425.5	554.5	405.5
6	150	50	182	0.91	147	3	35	15	0.98	0.02	0.7	0.3	548.313	381.333	522	398	2.054	-0.524	2.054	-0.524	1.992	-0.513	2.578	2.505	0.916	0.914	0.765	0.739	-0.829	-0.807	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	527.2	425.833	506.5	386.5	30	10	40	1	30	0	10	0	1	0	1	0	551.533		546.5		30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	528	314	506	303	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	512.759	308.333	483	398	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	622.69	432.667	601	469
7	150	50	180	0.9	150	0	30	20	1	0	0.6	0.4	533.907	415.15	525.5	445.5	inf	-0.253	2.713	-0.253	2.715	-0.248	2.966	2.964	0.898	0.898	1.23	1.233	-0.973	-0.973	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	492.533	412.5	453	397.5	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	551.3	376.833	529	457	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	551.033	479	535.5	465	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	549.2	422.5	561.5	422.5	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	525.467	428.333	528.5	447
9	150	50	157	0.785	138	12	19	31	0.92	0.08	0.38	0.62	437.399	388.548	423	385	1.405	0.305	1.405	0.305	1.387	0.299	1.1	1.087	0.779	0.778	0.855	0.843	-0.524	-0.513	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	486.69	471.333	474	428	30	10	32	0.8	28	2	4	6	0.933	0.067	0.4	0.6	424.571	420.833	403.5	422.5	30	10	32	0.8	28	2	4	6	0.933	0.067	0.4	0.6	439.357	330.833	397.5	338	30	10	31	0.775	27	3	4	6	0.9	0.1	0.4	0.6	444.704	350.833	408	365.5	30	10	29	0.725	26	4	3	7	0.867	0.133	0.3	0.7	386.538	371.714	381.5	394
11	150	50	190	0.95	148	2	42	8	0.987	0.013	0.84	0.16	501.365	342.5	501	322	2.216	-0.994	2.216	-0.994	2.131	-0.967	3.211	3.098	0.955	0.953	0.611	0.582	-0.822	-0.79	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	566.033	431	549	431	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	549.379	316	551	316	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	455.967	328	455.5	328	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	459.867	347	465.5	347	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	476.345	315	482	315
17	150	50	173	0.865	148	2	25	25	0.987	0.013	0.5	0.5	522.446	455.8	510	437	2.216	0	2.216	0	2.131	0	2.216	2.131	0.867	0.865	1.108	1.065	-0.9	-0.878	30	10	31	0.775	30	0	1	9	1	0	0.1	0.9	486.1	445.444	483.5	437	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	523.034	384.5	509	384.5	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	494.667	393.5	482	398.5	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	559.172	494	544	479	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	550.5	554.8	541	463
18	150	50	184	0.92	150	0	34	16	1	0	0.68	0.32	486.053	397.375	480	397.5	inf	-0.468	2.713	-0.468	2.715	-0.458	3.181	3.173	0.919	0.918	1.123	1.129	-0.97	-0.97	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	509.367	390	504	409	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	466.867	311.5	423.5	311.5	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	472	387	458.5	387	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	474.4	376.5	483	388	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	507.633	510.667	525.5	488
19	150	50	176	0.88	145	5	31	19	0.967	0.033	0.62	0.38	543.428	423.947	532	406	1.834	-0.305	1.834	-0.305	1.794	-0.299	2.139	2.093	0.888	0.886	0.764	0.747	-0.759	-0.741	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	591.621	371.5	609	407	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	530.69	406	538	406	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	463.655	286	452	389	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	573.821	672.667	543.5	498	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	557.9	412.5	511	397
20	150	50	174	0.87	143	7	31	19	0.953	0.047	0.62	0.38	605.112	424.211	573	406	1.678	-0.305	1.678	-0.305	1.648	-0.299	1.984	1.947	0.882	0.879	0.686	0.674	-0.682	-0.667	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	554.267	397.5	513.5	397.5	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	592.367	412	567	423.5	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	604.034	449	563	349	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	639.103	426.333	645	386	30	10	32	0.8	25	5	7	3	0.833	0.167	0.7	0.3	643.24	421	627	411
21	150	50	185	0.925	148	2	37	13	0.987	0.013	0.74	0.26	583.966	438.692	571.5	405	2.216	-0.643	2.216	-0.643	2.131	-0.629	2.86	2.76	0.93	0.927	0.787	0.751	-0.872	-0.846	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	603.633	451	583	437	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	588.033	481	578.5	481	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	558.379	393.25	549	393	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	574.567	541.5	539.5	541.5	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	594.724	381	588	381
22	150	50	180	0.9	144	6	36	14	0.96	0.04	0.72	0.28	611.132	467.357	595.5	459	1.751	-0.583	1.751	-0.583	1.716	-0.57	2.334	2.286	0.913	0.911	0.584	0.573	-0.68	-0.663	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	555.767	448.5	544	448.5	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	655.345	403	635	403	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	652.345	465.333	615	426	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	574.25	454.25	569	430	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	618.857	507.5	591	510.5
23	150	50	171	0.855	138	12	33	17	0.92	0.08	0.66	0.34	570.623	446.882	562	433	1.405	-0.412	1.405	-0.412	1.387	-0.404	1.818	1.791	0.877	0.875	0.496	0.491	-0.506	-0.496	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	574.643	426	538	445	30	10	31	0.775	24	6	7	3	0.8	0.2	0.7	0.3	571.625	406	574.5	416	30	10	32	0.8	27	3	5	5	0.9	0.1	0.5	0.5	561.667	424.6	513	430	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	617.586	468.5	617	434.5	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	528.733	552	542	552
26	150	50	191	0.955	150	0	41	9	1	0	0.82	0.18	570.313	501.667	563	475	inf	-0.915	2.713	-0.915	2.715	-0.892	3.628	3.607	0.954	0.952	0.899	0.912	-0.956	-0.957	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	557.267	469	545	469	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	555	476	564.5	476	30	10	40	1	30	0	10	0	1	0	1	0	587.433		582		30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	599.267	662	606	662	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	552.6	433.667	554.5	446
28	150	50	177	0.885	147	3	30	20	0.98	0.02	0.6	0.4	457.429	472.5	436	383	2.054	-0.253	2.054	-0.253	1.992	-0.248	2.307	2.24	0.89	0.887	0.9	0.872	-0.849	-0.828	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	457.533	363.6	450	365	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	440.345	664.333	400	421	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	439.033	400	423.5	400	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	488.759	556.75	442	367.5	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	462.103	435.333	443	391.5
30	150	50	183	0.915	144	6	39	11	0.96	0.04	0.78	0.22	627.188	423.818	624.5	435	1.751	-0.772	1.751	-0.772	1.716	-0.754	2.523	2.47	0.93	0.927	0.489	0.481	-0.634	-0.618	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	639.033	403.333	625.5	376	30	10	38	0.95	28	2	10	0	0.933	0.067	1	0	630.321		617		30	10	37	0.925	28	2	9	1	0.933	0.067	0.9	0.1	674.893	150	672.5	150	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	605.464	478	646.5	435	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	588.167	456	587.5	456
31	150	50	175	0.875	146	4	29	21	0.973	0.027	0.58	0.42	483.438	434.524	476.5	341	1.932	-0.202	1.932	-0.202	1.884	-0.198	2.134	2.082	0.881	0.878	0.865	0.843	-0.807	-0.788	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	507.233	312.667	498.5	300	30	10	31	0.775	28	2	3	7	0.933	0.067	0.3	0.7	488.964	498.857	506.5	333	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	442.679	374.25	435.5	327	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	518.033	476.6	504.5	382	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	457.933	407.5	449	407.5
33	150	50	178	0.89	146	4	32	18	0.973	0.027	0.64	0.36	649.671	481.5	646.5	493.5	1.932	-0.358	1.932	-0.358	1.884	-0.351	2.291	2.235	0.897	0.895	0.787	0.766	-0.798	-0.778	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	636.179	513.333	646.5	518	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	686.333	454	676	454	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	648.724	545.333	606	538	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	672.367	440.833	660	425	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	602.241	478.4	577	542
34	150	50	179	0.895	146	4	33	17	0.973	0.027	0.66	0.34	538.781	462.941	530	457	1.932	-0.412	1.932	-0.412	1.884	-0.404	2.345	2.288	0.903	0.9	0.76	0.74	-0.793	-0.773	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	522.862	428	509	414	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	558.552	545.667	549	497	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	528.433	381.333	498	370	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	561.034	481.667	549	491	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	523.379	501.333	513	520
35	150	50	179	0.895	143	7	36	14	0.953	0.047	0.72	0.28	606.266	514.643	581	511.5	1.678	-0.583	1.678	-0.583	1.648	-0.57	2.261	2.218	0.91	0.908	0.548	0.539	-0.638	-0.623	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	578.759	470	580	470	30	10	33	0.825	27	3	6	4	0.9	0.1	0.6	0.4	598.778	511	589	518	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	599.034	555.667	581	510	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	643.321	540.667	630	519	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	612	467.333	558.5	493
36	150	50	175	0.875	147	3	28	22	0.98	0.02	0.56	0.44	447.551	418.864	434	392	2.054	-0.151	2.054	-0.151	1.992	-0.148	2.205	2.14	0.879	0.877	0.951	0.922	-0.853	-0.832	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	441.6	335.333	430.5	317	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	459.067	340.25	420	351	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	463.133	486	443.5	490.5	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	432.517	351.4	427	371	30	10	32	0.8	28	2	4	6	0.933	0.067	0.4	0.6	440.464	524.5	432	478
37	150	50	181	0.905	141	9	40	10	0.94	0.06	0.8	0.2	683.035	550.4	674	587	1.555	-0.842	1.555	-0.842	1.531	-0.821	2.396	2.352	0.928	0.925	0.357	0.355	-0.479	-0.47	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	664.786	362.333	648	465	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	649.233	410	669	410	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	692.786	632	645.5	632	30	10	34	0.85	26	4	8	2	0.867	0.133	0.8	0.2	703.731	603	707	603	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	707.655	768.5	703	768.5
38	150	50	191	0.955	148	2	43	7	0.987	0.013	0.86	0.14	528.216	431.286	522.5	418	2.216	-1.08	2.216	-1.08	2.131	-1.049	3.297	3.18	0.961	0.958	0.568	0.541	-0.803	-0.77	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	531.069	408	522	408	30	10	40	1	30	0	10	0	1	0	1	0	555.167		539.5		30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	521.567	451	530.5	423	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	539.2	394	513.5	394	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	493	456	484	456
39	150	50	177	0.885	146	4	31	19	0.973	0.027	0.62	0.38	604.192	505.158	588.5	467	1.932	-0.305	1.932	-0.305	1.884	-0.299	2.238	2.183	0.892	0.889	0.813	0.792	-0.802	-0.782	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	566	478.8	560.5	464	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	569.833	460.333	563.5	464	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	630.933	463	618.5	562	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	608.393	565.6	582.5	491	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	649.071	535.333	665.5	475
40	150	50	191	0.955	145	5	46	4	0.967	0.033	0.92	0.08	601.297	475.25	580	472	1.834	-1.405	1.834	-1.405	1.794	-1.352	3.239	3.145	0.97	0.967	0.214	0.221	-0.391	-0.393	30	10	37	0.925	28	2	9	1	0.933	0.067	0.9	0.1	589.607	469	579	469	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	609.379	480.5	581	480.5	30	10	39	0.975	29	1	10	0	0.967	0.033	1	0	603		539		30	10	39	0.975	29	1	10	0	0.967	0.033	1	0	600.655		585		30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	603.367	471	594.5	471
41	150	50	197	0.985	149	1	48	2	0.993	0.007	0.96	0.04	628.745	521	628	521	2.475	-1.751	2.475	-1.751	2.329	-1.654	4.225	3.983	0.988	0.985	0.362	0.337	-0.706	-0.652	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	629.567	530	633	530	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	625.467	512	622.5	512	30	10	40	1	30	0	10	0	1	0	1	0	650.333		635.5		30	10	39	0.975	29	1	10	0	0.967	0.033	1	0	660.103		660		30	10	40	1	30	0	10	0	1	0	1	0	579.3		584	
43	150	50	185	0.925	150	0	35	15	1	0	0.7	0.3	519.653	427.8	501	418	inf	-0.524	2.713	-0.524	2.715	-0.513	3.237	3.228	0.924	0.923	1.094	1.101	-0.969	-0.969	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	540.267	382	532.5	413	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	527.233	424.4	497	402	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	494.5	405.25	470.5	416	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	515.333	482	519	482	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	520.933	523	495	523
45	150	50	189	0.945	150	0	39	11	1	0	0.78	0.22	457.98	387.182	455.5	384	inf	-0.772	2.713	-0.772	2.715	-0.754	3.485	3.469	0.944	0.942	0.97	0.981	-0.962	-0.963	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	432.3	437	437.5	437	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	498.3	376.667	488.5	384	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	460.8	373	460.5	373	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	450.933	365	440.5	365	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	447.567	389.5	456.5	389.5
47	150	50	177	0.885	144	6	33	17	0.96	0.04	0.66	0.34	508.917	467.882	509.5	442	1.751	-0.412	1.751	-0.412	1.716	-0.404	2.163	2.12	0.896	0.894	0.669	0.656	-0.708	-0.691	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	482.75	518	458	518	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	508.167	388.333	517	423	30	10	37	0.925	28	2	9	1	0.933	0.067	0.9	0.1	461.214	391	474	391	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	537.733	446.667	555.5	429	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	552.714	536.4	541.5	448
48	150	50	187	0.935	149	1	38	12	0.993	0.007	0.76	0.24	570.007	375.083	561	367.5	2.475	-0.706	2.475	-0.706	2.329	-0.69	3.181	3.019	0.937	0.935	0.884	0.819	-0.93	-0.899	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	563.586	419.75	552	417	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	557.133	358	532.5	352	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	533	357.75	534	351.5	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	586.367	317	577	317	30	10	40	1	30	0	10	0	1	0	1	0	609.733		596	
49	150	50	168	0.84	149	1	19	31	0.993	0.007	0.38	0.62	454.872	410.484	451	388	2.475	0.305	2.475	0.305	2.329	0.299	2.169	2.03	0.84	0.838	1.39	1.314	-0.945	-0.92	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	416.533	322	406	355.5	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	437.931	423.667	457	445	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	489.533	379.5	492	368.5	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	443.933	509.2	416	461	30	10	32	0.8	30	0	2	8	1	0	0.2	0.8	485.867	428.5	468.5	399.5
51	150	50	2	0.01	2	148	0	50	0.013	0.987	0	1	708	624.7	708	587	-2.216	inf	-2.216	inf	-2.131	2.334	#NAME?	-4.464	0.003	0.007	inf	0.102	-1	-0.253	30	10	1	0.025	1	29	0	10	0.033	0.967	0	1	948	633.1	948	626	30	10	0	0	0	30	0	10	0	1	0	1		630.9		576	30	10	0	0	0	30	0	10	0	1	0	1		668.6		618.5	30	10	0	0	0	30	0	10	0	1	0	1		580		537.5	30	10	1	0.025	1	29	0	10	0.033	0.967	0	1	468	610.9	468	634.5
52	150	50	173	0.865	135	15	38	12	0.9	0.1	0.76	0.24	619.074	569.5	578	527	1.282	-0.706	1.282	-0.706	1.267	-0.69	1.988	1.957	0.9	0.898	0.288	0.288	-0.339	-0.335	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	619.733	523	587.5	523	30	10	33	0.825	26	4	7	3	0.867	0.133	0.7	0.3	596.269	657.333	582	538	30	10	33	0.825	27	3	6	4	0.9	0.1	0.6	0.4	536.074	664.5	526	606.5	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	667.75	539	611	539	30	10	33	0.825	24	6	9	1	0.8	0.2	0.9	0.1	679.542	80	626	80
54	150	50	185	0.925	145	5	40	10	0.967	0.033	0.8	0.2	530.559	427.7	527	418	1.834	-0.842	1.834	-0.842	1.794	-0.821	2.676	2.615	0.938	0.935	0.496	0.486	-0.665	-0.647	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	511.69	414.75	511	405	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	547.143	392.667	544	386	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	498.828	484	504	484	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	548.483	478	537	478	30	10	40	1	30	0	10	0	1	0	1	0	546.667		541.5	
55	150	50	184	0.92	149	1	35	15	0.993	0.007	0.7	0.3	474.396	349.4	468	382	2.475	-0.524	2.475	-0.524	2.329	-0.513	2.999	2.842	0.922	0.92	0.975	0.908	-0.939	-0.911	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	512.2	333	510	333	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	486.733	271.5	464.5	271.5	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	450.333	404	449	404	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	452.533	357.5	449.5	357.5	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	470.034	358.429	454	388
56	150	50	193	0.965	147	3	46	4	0.98	0.02	0.92	0.08	539.918	449	519	451.5	2.054	-1.405	2.054	-1.405	1.992	-1.352	3.459	3.344	0.974	0.971	0.324	0.32	-0.579	-0.561	30	10	40	1	30	0	10	0	1	0	1	0	551.733		539		30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	509.483	420	490	420	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	536.138	443	510	443	30	10	40	1	30	0	10	0	1	0	1	0	557.033		528.5		30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	544.207	466.5	545	466.5
