sub	ses	b0_n_targets	b0_n_fill	b0_n_trials	b0_n_acc	b0_p_acc	b0_n_target_hit	b0_p_target_hit	b0_n_target_miss	b0_p_target_miss	b0_n_fill_corr	b0_p_fill_corr	b0_n_fill_fa	b0_p_fill_fa	b0_p_target_ba	b0_rt_mean_target_hit	b0_rt_med_target_hit	b1_n_targets	b1_n_fill	b1_n_trials	b1_n_acc	b1_p_acc	b1_n_target_hit	b1_p_target_hit	b1_n_target_miss	b1_p_target_miss	b1_n_fill_corr	b1_p_fill_corr	b1_n_fill_fa	b1_p_fill_fa	b1_p_target_ba	b1_rt_mean_target_hit	b1_rt_med_target_hit	b2_n_targets	b2_n_fill	b2_n_trials	b2_n_acc	b2_p_acc	b2_n_target_hit	b2_p_target_hit	b2_n_target_miss	b2_p_target_miss	b2_n_fill_corr	b2_p_fill_corr	b2_n_fill_fa	b2_p_fill_fa	b2_p_target_ba	b2_rt_mean_target_hit	b2_rt_med_target_hit
22	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	678.125	644.5	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	978.2	999.0	16.0	44.0	60.0	53.0	88.333	13.0	81.25	3.0	18.75	40.0	90.909	4.0	9.091	86.08	758.769	807.0
23	1	16.0	44.0	60.0	57.0	95.0	14.0	87.5	2.0	12.5	43.0	97.727	1.0	2.273	92.614	608.929	589.0	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	665.0	610.5	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	989.167	917.0
26	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	588.75	602.5	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	744.062	725.0	16.0	44.0	60.0	54.0	90.0	11.0	68.75	5.0	31.25	43.0	97.727	1.0	2.273	83.239	911.0	835.0
28	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	594.562	578.5	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	646.4	620.0	16.0	44.0	60.0	57.0	95.0	14.0	87.5	2.0	12.5	43.0	97.727	1.0	2.273	92.614	722.857	673.5
30	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	704.5	708.0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	695.562	672.5	16.0	44.0	60.0	57.0	95.0	16.0	100.0	0.0	0.0	41.0	93.182	3.0	6.818	96.591	846.75	821.5
31	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	767.812	782.5	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	853.6	860.0	16.0	44.0	60.0	49.0	81.667	10.0	62.5	6.0	37.5	39.0	88.636	5.0	11.364	75.568	1070.7	1187.0
33	1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	607.438	592.5	16.0	44.0	60.0	55.0	91.667	11.0	68.75	5.0	31.25	44.0	100.0	0.0	0.0	84.375	959.909	1052.0	16.0	44.0	60.0	47.0	78.333	3.0	18.75	13.0	81.25	44.0	100.0	0.0	0.0	59.375	708.0	606.0
35	1	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	651.267	686.0	16.0	44.0	60.0	57.0	95.0	14.0	87.5	2.0	12.5	43.0	97.727	1.0	2.273	92.614	997.071	953.0	16.0	44.0	60.0	48.0	80.0	6.0	37.5	10.0	62.5	42.0	95.455	2.0	4.545	66.477	1102.333	1212.0
36	1	16.0	44.0	60.0	55.0	91.667	15.0	93.75	1.0	6.25	40.0	90.909	4.0	9.091	92.33	633.333	630.0	16.0	44.0	60.0	56.0	93.333	15.0	93.75	1.0	6.25	41.0	93.182	3.0	6.818	93.466	758.133	760.0	16.0	44.0	60.0	47.0	78.333	3.0	18.75	13.0	81.25	44.0	100.0	0.0	0.0	59.375	506.333	493.0
38	1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	534.75	539.5	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	546.938	510.5	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	610.083	550.5
