sub	block	condition	racehorse_check	n_stop_trials	n_go_trials	go_rt	n_go_cor	go_cor_rt	n_go_error	go_error_rt	n_go_miss	stop_prob_resp	us_rt	ssd	ssrt_mean	ssrt_int
31	4	lED_sPort	1	16	48	488.3333333333333	47	493.06382978723406	1	266.0	0	0.5	472.125	215.625	272.7083333333333	252.875
33	1	lED_lPort	1	16	48	788.5833333333334	46	776.9347826086956	2	1056.5	0	0.4375	766.2857142857143	369.8125	418.77083333333337	372.1875
33	2	hED_lPort	1	16	48	791.1304347826087	41	794.8780487804878	6	760.4	1	0.375	670.0	369.8125	404.48537234042556	341.3125
33	3	hED_sPort	1	16	48	823.1333333333333	45	830.6136363636364	1	494.0	2	0.375	593.6666666666666	306.25	498.9891304347826	459.125
33	4	lED_sPort	1	16	48	782.0909090909091	41	769.6923076923077	5	878.8	2	0.375	710.8	362.5	385.5869565217391	328.25
35	1	hED_lPort	1	16	48	818.4047619047619	42	818.4047619047619	0		6	0.4375	799.1428571428571	368.75	449.6547619047619	380.8125
35	2	lED_sPort	1	16	48	847.15	39	850.3947368421053	2	785.5	7	0.375	812.1666666666666	269.8125	556.6753048780488	430.0625
35	3	lED_lPort	1	16	48	870.1470588235294	33	902.3333333333334	5	628.75	10	0.4375	845.3333333333334	406.25	372.3026315789474	417.625
35	4	hED_sPort	0	16	48	777.1428571428571	34	781.7941176470588	1	619.0	13	0.5625	797.8888888888889	129.1875		
36	1	lED_lPort	0	16	48	602.1063829787234	46	604.5869565217391	2	488.0	0	0.5625	612.0	189.625		
36	2	hED_sPort	1	16	48	626.5217391304348	39	635.8205128205128	8	574.7142857142857	1	0.4375	500.8333333333333	232.3125	380.8789893617021	306.25
36	3	hED_lPort	1	16	48	506.609756097561	40	529.0833333333334	6	344.8	2	0.625	471.625	178.1875	273.35597826086956	349.3125
36	4	lED_sPort	0	16	48	556.3829787234042	44	556.3488372093024	4	556.75	0	0.5625	584.4444444444445	144.8125		
37	1	lED_lPort	1	16	48	698.5416666666666	46	703.6739130434783	1	560.0	0	0.375	634.6666666666666	395.875	302.66666666666663	234.5
37	2	hED_sPort	1	16	48	709.5625	46	719.4782608695652	1	764.0	0	0.375	622.0	393.75	315.8125	266.5
37	3	hED_lPort	1	16	48	697.531914893617	45	700.0	0		1	0.5	528.75	331.25	366.281914893617	350.75
37	4	lED_sPort	1	16	48	690.531914893617	46	693.4782608695652	0		1	0.375	619.8333333333334	382.3125	308.219414893617	219.3125
38	1	lED_lPort	1	16	48	599.3958333333334	48	599.3958333333334	0		0	0.4375	490.7142857142857	300.0	299.39583333333337	244.6875
38	2	hED_lPort	1	16	48	679.5833333333334	48	679.5833333333334	0		0	0.375	634.3333333333334	426.0625	253.52083333333337	228.0625
38	3	hED_sPort	1	16	48	776.3541666666666	48	776.3541666666666	0		0	0.375	637.0	401.0625	375.29166666666663	293.0625
38	4	lED_sPort	1	16	48	673.6041666666666	48	673.6041666666666	0		0	0.4375	623.1428571428571	313.5	360.10416666666663	319.5625
39	1	lED_sPort	1	16	48	628.0416666666666	42	650.5952380952381	0		0	0.5625	514.3333333333334	151.0625	476.97916666666663	492.6875
39	2	hED_sPort	0	16	48	562.5869565217391	43	591.7560975609756	1	413.0	0	0.625	581.7	147.9375		
39	3	hED_lPort	1	16	48	603.5833333333334	38	636.2894736842105	1	1158.0	0	0.875	511.2142857142857	95.875	507.70833333333337	747.875
39	4	lED_lPort	0	16	48	579.1521739130435	36	606.1666666666666	0		1	0.8125	582.5384615384615	93.75		
