sub	ses	model	params	beta	alpha	lambda	w	pi	rho	loglikelihood	bic	aic	latents
41	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36159843510381	4.33625206647675e-10	0.0653350913272004				-69.3147180719946	152.444946701953	144.629436143989	0
45	1	ModelFree_NoStimSticky_NoRespSticky	3	3.56202639086964	0.0271890528819611	2.01844535023843e-09				-66.6341330067083	147.083776571381	139.268266013417	0
47	1	ModelFree_NoStimSticky_NoRespSticky	3	0.312128065830045	0.669095278548165	0.999999900501112				-56.2251235151684	126.265757588301	118.450247030337	0
48	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36160006716714	5.04681072322042e-08	0.269462740165994				-65.1558350526406	144.127180663245	136.311670105281	0
49	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36160043029886	1.09610430966472e-08	0.413543457237873				-67.9284237748732	149.672358107711	141.856847549746	0
51	1	ModelFree_NoStimSticky_NoRespSticky	3	0.490669662649076	0.999999997888106	0.999999998520105				-54.0242413760618	121.863993310088	114.048482752124	0
52	1	ModelFree_NoStimSticky_NoRespSticky	3	3.3611582373735	0.0012697402299427	0.999875947725021				-67.8797914697544	149.575093497473	141.759582939509	0
54	1	ModelFree_NoStimSticky_NoRespSticky	3	3.11221413320674	0.0109838960995147	0.999999544991091				-61.5026183134328	136.82074718483	129.005236626866	0
55	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36203597243505	0.00367240316575423	3.14971713784944e-06				-67.2337154094272	148.282941376819	140.467430818854	0
56	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36140065739	0.00232871852780433	0.01455462175448				-62.382465088651	138.580440735266	130.764930177302	0
57	1	ModelFree_NoStimSticky_NoRespSticky	3	3.38879650213012	0.0148815991773391	2.44763670158862e-08				-64.7579982192214	143.331506996407	135.515996438443	0
68	1	ModelFree_NoStimSticky_NoRespSticky	3	3.28129984586317	0.00535317129249188	0.999999012435552				-65.2045856548431	144.22468186765	136.409171309686	0
69	1	ModelFree_NoStimSticky_NoRespSticky	3	3.30638103623338	0.00881305412296399	0.999999262012595				-59.4578088299616	132.731128217887	124.915617659923	0
70	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36892136072764	0.00716940395709811	9.74420131336538e-07				-67.2227053687871	148.260921295539	140.445410737574	0
71	1	ModelFree_NoStimSticky_NoRespSticky	3	0.43159051720269	0.530316258629444	0.999999987988259				-60.6284613959582	135.072433349881	127.256922791916	0
72	1	ModelFree_NoStimSticky_NoRespSticky	3	3.35871405667531	0.00384445879278633	0.34906519752776				-64.4322120501478	142.67993465826	134.864424100296	0
73	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36789324375573	0.0124206002693082	1.03680053940537e-07				-64.2996481954472	142.414806948859	134.599296390894	0
74	1	ModelFree_NoStimSticky_NoRespSticky	3	0.440522378238549	0.999999996079745	0.530388077979894				-51.2318201618369	116.279150881638	108.463640323674	0
75	1	ModelFree_NoStimSticky_NoRespSticky	3	0.720812785922109	0.396049661116073	0.999999219100854				-59.2653494346563	132.346209427277	124.530698869313	0
77	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36159826614881	6.68105331102733e-08	0.00123444782870446				-65.8489821730014	145.513474903967	137.697964346003	0
78	1	ModelFree_NoStimSticky_NoRespSticky	3	3.43187599072912	0.0204528595291619	4.21900242815241e-09				-65.1295700966594	144.074650751283	136.259140193319	0
80	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36342594075323	0.00273038058453418	0.999965874225525				-67.8105939552443	149.436698468453	141.621187910489	0
83	1	ModelFree_NoStimSticky_NoRespSticky	3	3.4553182018426	0.0150967475824454	0.0498878595922555				-65.8778946118185	145.571299781601	137.755789223637	0
84	1	ModelFree_NoStimSticky_NoRespSticky	3	3.34854880381016	0.00237289477577035	0.999995249606769				-68.5433061369268	150.902122831818	143.086612273854	0
89	1	ModelFree_NoStimSticky_NoRespSticky	3	0.324572773108042	0.999999942290301	0.999999775095533				-59.8031671254467	133.421844808858	125.606334250893	0
90	1	ModelFree_NoStimSticky_NoRespSticky	3	0.320927162548394	0.999999990266855	0.999999966458467				-58.4610643096299	130.737639177224	122.92212861926	0
93	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36077444736624	0.00104787650256232	0.634580663694623				-68.5777366736642	150.970983905293	143.155473347328	0
95	1	ModelFree_NoStimSticky_NoRespSticky	3	0.314946253939473	0.833384437618078	0.800110714074989				-59.1355850406041	132.086680639173	124.271170081208	0
96	1	ModelFree_NoStimSticky_NoRespSticky	3	0.377061786918166	0.911402796022733	0.394787889972244				-57.2751548017948	128.365820161554	120.55030960359	0
98	1	ModelFree_NoStimSticky_NoRespSticky	3	1.29835285587157	0.139423194427449	0.0906778013397052				-64.7329124929066	143.281335543777	135.465824985813	0
101	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36161030735956	6.29614817687317e-10	0.0732158911309413				-65.8489821691946	145.513474896354	137.697964338389	0
103	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36160033432506	1.68809475130349e-09	0.0486543781135164				-65.1558350526344	144.127180663233	136.311670105269	0
104	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36159885223017	2.75215756490379e-10	0.406083305061389				-65.8489821732005	145.513474904365	137.697964346401	0
105	1	ModelFree_NoStimSticky_NoRespSticky	3	3.38751035694212	0.0144249638234625	3.94095718414139e-08				-58.5780624627487	130.971635483462	123.156124925497	0
106	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36529955266216	0.0121554591143589	1.21404893668281e-08				-62.2961250573382	138.407760672641	130.592250114676	0
107	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36159727221768	3.7713325452364e-08	0.000491384913765981				-65.8489821549944	145.513474867953	137.697964309989	0
109	1	ModelFree_NoStimSticky_NoRespSticky	3	3.42237150700618	0.0131261776857903	0.999999947053961				-60.547440934561	134.910392427086	127.094881869122	0
111	1	ModelFree_NoStimSticky_NoRespSticky	3	0.48053825977644	0.847267978809042	0.999999992508014				-51.1345845582157	116.084679674396	108.269169116431	0
112	1	ModelFree_NoStimSticky_NoRespSticky	3	0.718007203394283	0.518260221734634	0.999999989494104				-46.0022896434901	105.820089844944	98.0045792869802	0
113	1	ModelFree_NoStimSticky_NoRespSticky	3	3.35791467114017	0.00738575895210727	0.999958540864494				-65.8953742415986	145.606259041162	137.790748483197	0
114	1	ModelFree_NoStimSticky_NoRespSticky	3	2.66112183305069	0.0555435812024956	0.6617095222293				-61.1964509932715	136.208412544507	128.392901986543	0
115	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36159999713812	2.91574424147967e-10	0.219096245266893				-67.2352765303134	148.286063618591	140.470553060627	0
116	1	ModelFree_NoStimSticky_NoRespSticky	3	3.25208212927307	0.00707871468276545	0.999998084481427				-54.3195213049979	122.45455316796	114.639042609996	0
117	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36162873972205	0.00166049432442734	5.61087172730992e-07				-63.7693862784057	141.354283114776	133.538772556811	0
118	1	ModelFree_NoStimSticky_NoRespSticky	3	3.50186871646858	0.0172875314873148	4.87656768818469e-08				-63.1777296289732	140.170969815911	132.355459257946	0
119	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36159925335447	1.11841505430523e-09	0.110537820879283				-61.6900990858351	137.195708729634	129.38019817167	0
120	1	ModelFree_NoStimSticky_NoRespSticky	3	3.37293323148882	0.0321806407512385	0.253471326041226				-63.5267868835797	140.869084325124	133.053573767159	0
121	1	ModelFree_NoStimSticky_NoRespSticky	3	3.34779885012644	0.00832839216852533	0.313727913699021				-67.9180782959867	149.651667149938	141.836156591973	0
122	1	ModelFree_NoStimSticky_NoRespSticky	3	3.33819570827854	0.00311929291537428	0.999987556348196				-64.4100379210994	142.635586400163	134.820075842199	0
123	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36160031109969	6.00249348066149e-10	0.137184142551909				-63.7695406315837	141.354591821132	133.539081263167	0
124	1	ModelFree_NoStimSticky_NoRespSticky	3	3.36174961363475	0.00100604023558205	0.99974397268171				-63.0358353627976	139.88718128356	132.071670725595	0
21	1	HybridModel_StimSticky_NoRespSticky	5	3.371363412232	0.000179177808365247	0.268862271122057	0.999540651690156	-0.091461018942811		-64.602811438453	152.231473806846	139.205622876906	0
39	1	HybridModel_StimSticky_NoRespSticky	5	3.41345195463153	0.00159188667575154	0.602319294683068	0.99998948901217	-0.205500739202443		-62.6258634777856	148.277577885512	135.251726955571	0
41	1	HybridModel_StimSticky_NoRespSticky	5	3.45181347435588	0.00157250569934635	0.342435773568683	0.999998816433144	0.323827792225398		-62.3286413755436	147.683133681028	134.657282751087	0
45	1	HybridModel_StimSticky_NoRespSticky	5	3.54104634990927	0.0422708838223838	1.21238213249624e-08	0.145293641627025	-0.118709256927487		-65.2409940773332	153.507839084607	140.481988154666	0
47	1	HybridModel_StimSticky_NoRespSticky	5	3.45597008635281	0.00364793977982343	0.999993042366982	3.42101617761585e-07	0.661771740417207		-46.2819258360342	115.589702602009	102.563851672068	0
48	1	HybridModel_StimSticky_NoRespSticky	5	3.35244307574675	0.00812381508679667	0.17664775005005	0.448950353919553	0.163077116954704		-63.3984355774692	149.822722084879	136.796871154938	0
49	1	HybridModel_StimSticky_NoRespSticky	5	3.37459985993615	0.00161096871220934	0.99997298193114	0.489104823293769	-0.0614245647446112		-67.6436449882803	158.313140906501	145.287289976561	0
51	1	HybridModel_StimSticky_NoRespSticky	5	0.522304857261378	0.99999999682626	0.999999998005487	8.00265707956122e-10	2.33504224359011		-46.8433439647511	116.712538859443	103.686687929502	0
