sub	session	n_targets_b0	n_targets_b1	n_targets_b2	n_fill_b0	n_fill_b1	n_fill_b2	n_trials_b0	n_trials_b1	n_trials_b2	n_acc_b0	n_acc_b1	n_acc_b2	p_acc_b0	p_acc_b1	p_acc_b2	n_target_hit_b0	n_target_hit_b1	n_target_hit_b2	p_target_hit_b0	p_target_hit_b1	p_target_hit_b2	n_target_miss_b0	n_target_miss_b1	n_target_miss_b2	p_target_miss_b0	p_target_miss_b1	p_target_miss_b2	n_fill_corr_b0	n_fill_corr_b1	n_fill_corr_b2	p_fill_corr_b0	p_fill_corr_b1	p_fill_corr_b2	n_fill_fa_b0	n_fill_fa_b1	n_fill_fa_b2	p_fill_fa_b0	p_fill_fa_b1	p_fill_fa_b2	p_target_ba_b0	p_target_ba_b1	p_target_ba_b2	rt_mean_target_hit_b0	rt_mean_target_hit_b1	rt_mean_target_hit_b2	rt_med_target_hit_b0	rt_med_target_hit_b1	rt_med_target_hit_b2
5	1	16	16	16	44	44	44	60	60	60	60	59	58	1	0.983	0.967	16	16	15	1	1	0.938	0	0	1	0	0	0.062	44	43	43	1	0.977	0.977	0	1	1	0	0.023	0.023	1	0.989	0.957	582.5	675.188	960.067	560.5	646.5	878
6	1	16	16	16	44	44	44	60	60	60	59	57	50	0.983	0.95	0.833	16	13	8	1	0.812	0.5	0	3	8	0	0.188	0.5	43	44	42	0.977	1	0.955	1	0	2	0.023	0	0.045	0.989	0.906	0.727	658.25	774.308	1033	654.5	738	920.5
5	2	16	16	16	44	44	44	60	60	60	59	58	58	0.983	0.967	0.967	16	16	15	1	1	0.938	0	0	1	0	0	0.062	43	42	43	0.977	0.955	0.977	1	2	1	0.023	0.045	0.023	0.989	0.977	0.957	554.438	782.25	1008.8	562	754.5	974
6	2	16	16		44	44		60	60		60	59		1	0.983		16	16		1	1		0	0		0	0		44	43		1	0.977		0	1		0	0.023		1	0.989		490.375	655.188		461	648	
3	2	16	16	16	44	44	44	60	60	60	59	60	56	0.983	1	0.933	16	16	15	1	1	0.938	0	0	1	0	0	0.062	43	44	41	0.977	1	0.932	1	0	3	0.023	0	0.068	0.989	1	0.935	582.688	625.938	812	586.5	570.5	798
2	2	16	16	16	44	44	44	60	60	60	59	60	51	0.983	1	0.85	15	16	10	0.938	1	0.625	1	0	6	0.062	0	0.375	44	44	41	1	1	0.932	0	0	3	0	0	0.068	0.969	1	0.778	642.2	690.125	829.2	620	768	676
11	1	16	16	16	44	44	44	60	60	60	59	60	54	0.983	1	0.9	16	16	10	1	1	0.625	0	0	6	0	0	0.375	43	44	44	0.977	1	1	1	0	0	0.023	0	0	0.989	1	0.812	730.5	800.688	657.7	686	810.5	656.5
11	2	16	16	16	44	44	44	60	60	60	60	60	60	1	1	1	16	16	16	1	1	1	0	0	0	0	0	0	44	44	44	1	1	1	0	0	0	0	0	0	1	1	1	462.875	545.875	541.062	446.5	493	559
18	2	16	16	16	44	44	44	60	60	60	60	57	59	1	0.95	0.983	16	15	15	1	0.938	0.938	0	1	1	0	0.062	0.062	44	42	44	1	0.955	1	0	2	0	0	0.045	0	1	0.946	0.969	589.062	614.667	619.733	573	568	547
