sub	all_racehorse_check	all_n_stop_trials	all_n_go_trials	all_go_rt	all_n_go_cor	all_go_cor_rt	all_n_go_error	all_go_error_rt	all_n_go_miss	all_stop_prob_resp	all_us_rt	all_ssd	all_ssrt_mean	all_ssrt_int	h_ed_racehorse_check	h_ed_n_stop_trials	h_ed_n_go_trials	h_ed_go_rt	h_ed_n_go_cor	h_ed_go_cor_rt	h_ed_n_go_error	h_ed_go_error_rt	h_ed_n_go_miss	h_ed_stop_prob_resp	h_ed_us_rt	h_ed_ssd	h_ed_ssrt_mean	h_ed_ssrt_int	l_ed_racehorse_check	l_ed_n_stop_trials	l_ed_n_go_trials	l_ed_go_rt	l_ed_n_go_cor	l_ed_go_cor_rt	l_ed_n_go_error	l_ed_go_error_rt	l_ed_n_go_miss	l_ed_stop_prob_resp	l_ed_us_rt	l_ed_ssd	l_ed_ssrt_mean	l_ed_ssrt_int	l_port_racehorse_check	l_port_n_stop_trials	l_port_n_go_trials	l_port_go_rt	l_port_n_go_cor	l_port_go_cor_rt	l_port_n_go_error	l_port_go_error_rt	l_port_n_go_miss	l_port_stop_prob_resp	l_port_us_rt	l_port_ssd	l_port_ssrt_mean	l_port_ssrt_int	s_port_racehorse_check	s_port_n_stop_trials	s_port_n_go_trials	s_port_go_rt	s_port_n_go_cor	s_port_go_cor_rt	s_port_n_go_error	s_port_go_error_rt	s_port_n_go_miss	s_port_stop_prob_resp	s_port_us_rt	s_port_ssd	s_port_ssrt_mean	s_port_ssrt_int
52	1	64	192	834.0346820809249	156	849.9038461538462	17	688.4117647058823	19	0.328125	717.0	407.890625	426.1440570809249	316.125	1	32	96	799.9111111111112	85	798.0470588235294	5	831.6	6	0.34375	677.1	379.78125	420.12986111111115	317.1875	1	32	96	871.0361445783133	71	911.9859154929577	12	628.75	13	0.3125	756.9	436.0	435.03614457831327	303.8125	1	32	96	809.5222222222222	79	831.4177215189874	11	652.2727272727273	6	0.3125	725.4	437.0625	372.45972222222224	243.4375	1	32	96	860.6144578313254	77	868.8701298701299	6	754.6666666666666	13	0.34375	708.6	378.71875	481.89570783132535	372.90625
55	1	64	192	521.5729166666666	185	529.1405405405405	5	275.6	0	0.484375	462.7741935483871	281.515625	240.05729166666663	220.03125	1	32	96	490.625	92	499.35869565217394	3	297.3333333333333	0	0.5	456.9375	263.03125	227.59375	209.96875	1	32	96	552.5208333333334	93	558.6021505376344	2	243.0	0	0.46875	469.0	300.0	252.52083333333337	213.53125	1	32	96	522.9166666666666	93	530.8172043010753	3	278.0	0	0.5	449.8125	275.53125	247.38541666666663	238.96875	1	32	96	520.2291666666666	92	527.445652173913	2	272.0	0	0.46875	476.6	287.5	232.72916666666663	208.03125
56	1	32	96	584.6666666666666	96	584.6666666666666	0		0	0.5	517.0625	346.875	237.79166666666663	204.125																																																								
58	1	64	192	782.8115183246073	188	781.6329787234042	3	856.6666666666666	1	0.328125	648.0952380952381	439.640625	343.1708933246073	270.703125	1	32	96	762.4166666666666	96	762.4166666666666	0		0	0.34375	648.7272727272727	448.5	313.91666666666663	237.15625	1	32	96	803.421052631579	92	801.6847826086956	3	856.6666666666666	1	0.3125	647.4	430.78125	372.63980263157896	298.59375	1	32	96	761.1789473684211	95	761.1789473684211	0		1	0.375	620.75	440.71875	320.46019736842106	278.03125	1	32	96	804.21875	93	802.5268817204301	3	856.6666666666666	0	0.28125	684.5555555555555	438.5625	365.65625	247.15625
68	1	64	192	816.1016949152543	173	816.121387283237	1	1170.0	15	0.390625	720.04	362.765625	453.33606991525426	363.234375	1	32	96	840.3483146067416	86	838.3953488372093	1	1170.0	7	0.34375	645.0	384.90625	455.4420646067416	344.375	1	32	96	791.5795454545455	87	794.1034482758621	0		8	0.4375	779.0	340.625	450.9545454545455	379.9375	1	32	96	838.5222222222222	88	837.3522727272727	1	1170.0	6	0.40625	731.2307692307693	300.0	538.5222222222222	444.71875	1	32	96	792.9080459770115	85	794.1411764705882	0		9	0.375	707.9166666666666	425.53125	367.3767959770115	293.96875
69	1	64	192	696.2486486486487	136	748.0592592592593	44	554.5909090909091	4	0.71875	689.304347826087	172.671875	512.4664228723404	610.453125	0	32	96	697.3586956521739	70	737.1714285714286	19	575.9473684210526	2	0.71875	744.8260869565217	169.8125			1	32	96	695.1505376344086	66	759.7846153846153	25	538.36	2	0.71875	633.7826086956521	175.53125	512.2240691489362	639.5625	0	32	96	698.3695652173913	66	748.530303030303	23	562.8260869565217	2	0.78125	700.0	163.03125			1	32	96	694.1505376344086	70	747.6086956521739	21	545.5714285714286	2	0.65625	676.5714285714286	182.3125	504.45345744680856	564.71875
70	1	64	192	569.0894736842105	173	581.6127167630058	13	448.46153846153845	2	0.515625	556.0	260.9375	308.1519736842105	277.546875	1	32	96	566.6979166666666	85	584.4823529411765	8	447.125	0	0.53125	547.4117647058823	287.5	279.19791666666663	257.96875	1	32	96	571.531914893617	88	578.8409090909091	5	450.6	2	0.5	565.125	234.375	337.156914893617	301.125	0	32	96	569.78125	86	583.3139534883721	8	449.625	0	0.5625	595.8333333333334	234.375			1	32	96	568.3829787234042	87	579.9310344827586	5	446.6	2	0.46875	508.2	287.5	280.8829787234042	233.5625
71	1	64	192	446.29787234042556	146	459.22758620689655	2	362.5	0	0.75	407.780487804878	135.96875	301.03125	388.03125	1	32	96	483.0531914893617	75	503.31081081081084	0		0	0.75	430.0869565217391	160.96875	312.0208333333333	378.28125	1	32	96	409.5425531914894	71	413.28169014084506	2	362.5	0	0.75	379.27777777777777	110.96875	290.0416666666667	374.28125	1	32	96	434.8804347826087	68	444.86567164179104	2	362.5	0	0.84375	394.9047619047619	104.71875	312.0416666666667	448.75	1	32	96	457.2395833333333	78	471.56410256410254	0		0	0.65625	421.3	167.21875	290.0208333333333	326.5
73	1	64	192	738.109375	191	739.0575916230366	1	557.0	0	0.390625	624.84	414.59375	323.515625	265.671875	1	32	96	719.0833333333334	96	719.0833333333334	0		0	0.34375	643.7272727272727	413.03125	306.05208333333337	223.625	1	32	96	757.1354166666666	95	759.2421052631579	1	557.0	0	0.4375	610.0	416.15625	340.97916666666663	308.03125	1	32	96	710.6145833333334	96	710.6145833333334	0		0	0.40625	580.2307692307693	400.0	310.61458333333337	254.375	1	32	96	765.6041666666666	95	767.8	1	557.0	0	0.375	673.1666666666666	429.1875	336.41666666666663	259.4375
74	0	64	192	648.2315789473685	186	647.0322580645161	3	812.3333333333334	2	0.421875	650.9629629629629	337.5			1	32	96	671.4315789473684	91	670.0	3	812.3333333333334	1	0.40625	617.7692307692307	371.875	299.5565789473684	207.125	0	32	96	625.0315789473684	95	625.0315789473684	0		1	0.4375	681.7857142857143	303.125			1	32	96	666.625	93	668.8709677419355	2	706.0	0	0.40625	624.7692307692307	300.0	366.625	279.0	0	32	96	629.4468085106383	93	625.1935483870968	1	1025.0	2	0.4375	675.2857142857143	375.0		
